Left Distance,Right Distance,Left Speed,Right Speed
61.33395877391072,63.661986392768526,3.14,3.14
65.12323371561816,67.79212422639874,3.14,3.14
65.04791981242943,62.72145560694713,3.14,3.14
63.38677652571192,62.822918280007435,3.14,3.14
64.20646442918029,63.73115423201242,3.14,3.14
58.89512668185592,57.39907490458216,3.14,3.14
61.55329742905028,65.89048608150355,3.14,3.14
54.66788724248961,66.32599338023135,3.14,3.14
64.64161959475977,61.35353119302679,3.14,3.14
63.746205481911275,63.284387955928416,3.14,3.14
65.62216648323336,65.876334691924,3.14,3.14
66.99590158750681,60.3387528670366,3.14,3.14
67.5776076592859,61.45962502793987,3.14,3.14
65.37089541997756,65.16600472560347,3.14,3.14
65.36160816712817,62.06946648486711,3.14,3.14
62.727858419068184,63.063389288891486,3.14,3.14
65.98725132236257,61.20973534693474,3.14,3.14
67.00608341256661,62.09980496563806,3.14,3.14
60.30423657014282,67.68560293462238,3.14,3.14
65.75628917288054,63.67526268489749,3.14,3.14
57.99336251098871,62.22424815227174,3.14,3.14
65.89950953293825,63.6217357561494,3.14,3.14
65.90611952637524,62.48480808713583,3.14,3.14
59.7798550276289,68.10968392290023,3.14,3.14
64.54200724186639,61.13992342024029,3.14,3.14
64.93473809872776,61.60455394270448,3.14,3.14
64.19443077571722,66.13298915438094,3.14,3.14
61.02928552364988,64.08473507772814,3.14,3.14
66.5962860543612,62.73852068767644,3.14,3.14
66.29680865927644,67.38995048102235,3.14,3.14
64.81653064506779,68.10623313004513,3.14,3.14
60.44383629667953,63.977090639753634,3.14,3.14
62.70426522033861,61.08304121625122,3.14,3.14
65.14656801546887,64.9620656935114,3.14,3.14
63.88653603785097,66.70523222625043,3.14,3.14
57.55679739069326,63.93030761970016,3.14,3.14
61.935876407789614,59.91759350751059,3.14,3.14
62.83843825505532,64.37886847464853,3.14,3.14
67.71404436049659,62.05856642316769,3.14,3.14
62.994764953048524,62.681070036660934,3.14,3.14
61.11794510113439,59.569401773136995,3.14,3.14
64.48290572699078,64.77210952035684,3.14,3.14
67.05759606860664,67.34808437071285,3.14,3.14
62.09191768294429,65.15052413343444,3.14,3.14
56.08950405865785,58.75393259858488,3.14,3.14
66.70782226324516,66.80157636609998,3.14,3.14
63.703116705044195,62.233255140879685,3.14,3.14
63.899993298387315,62.48991501690449,3.14,3.14
68.81013803977399,60.02375650040428,3.14,3.14
64.03271721709376,65.343085651339,3.14,3.14
65.07857736679142,64.84223933053164,3.14,3.14
63.08182565680517,61.153708158092876,3.14,3.14
67.0221934635917,56.29603695576607,3.14,3.14
64.42713139699228,63.56839898980187,3.14,3.14
63.2238058599672,60.904616637598785,3.14,3.14
62.8848646310633,63.653753735054835,3.14,3.14
